subjnum,block,story,depth,,type,qtype,state,fromnode,true_tonode,false_tonode,rfc,true_rfc,false_rfc,response_right,true_on_right,correct_response,edge
0,0,0,1,9,question,transQ,,NODE12,NODE22,NODE21,,subject-Teresa_location-Deep,subject-Teresa_location-Deep,True,False,0,NODE12NODE22
0,0,0,2,13,question,transQ,,NODE22,NODE32,NODE31,,subject-Teresa_location-Deep,subject-Teresa_location-Deep,True,True,1,NODE22NODE32
0,0,1,1,28,question,transQ,,NODE11,NODE22,NODE21,,subject-Joe_location-Jungle,subject-Joe_location-Jungle,False,True,0,NODE11NODE22
0,0,2,1,47,question,transQ,,NODE11,NODE21,NODE22,,subject-Laura_location-Deep,subject-Laura_location-Deep,True,True,1,NODE11NODE21
0,0,2,2,51,question,transQ,,NODE21,NODE31,NODE32,,subject-Laura_location-Deep,subject-Laura_location-Deep,True,True,1,NODE21NODE31
0,0,3,1,66,question,transQ,,NODE11,NODE22,NODE21,,subject-Judith_location-Jungle,subject-Judith_location-Jungle,False,True,0,NODE11NODE22
0,0,4,2,87,question,transQ,,NODE21,NODE31,NODE32,,subject-Grace_location-Deep,subject-Grace_location-Deep,False,False,1,NODE21NODE31
0,0,5,1,102,question,transQ,,NODE11,NODE22,NODE21,,subject-Edward_location-Jungle,subject-Edward_location-Jungle,True,True,1,NODE11NODE22
0,0,5,2,106,question,transQ,,NODE22,NODE31,NODE32,,subject-Edward_location-Jungle,subject-Edward_location-Jungle,False,True,0,NODE22NODE31
0,0,6,1,119,question,transQ,,NODE12,NODE22,NODE21,,subject-Jacob_location-Deep,subject-Jacob_location-Deep,True,True,1,NODE12NODE22
0,0,6,2,123,question,transQ,,NODE22,NODE32,NODE31,,subject-Jacob_location-Deep,subject-Jacob_location-Deep,False,False,1,NODE22NODE32
0,0,7,1,138,question,transQ,,NODE11,NODE22,NODE21,,subject-Ralph_location-Jungle,subject-Ralph_location-Jungle,True,False,0,NODE11NODE22
0,0,7,2,142,question,transQ,,NODE22,NODE31,NODE32,,subject-Ralph_location-Jungle,subject-Ralph_location-Jungle,True,False,0,NODE22NODE31
0,0,9,1,174,question,transQ,,NODE11,NODE22,NODE21,,subject-Susan_location-Jungle,subject-Susan_location-Jungle,False,True,0,NODE11NODE22
0,0,10,1,191,question,transQ,,NODE12,NODE22,NODE21,,subject-Judy_location-Deep,subject-Judy_location-Deep,False,False,1,NODE12NODE22
0,0,11,1,210,question,transQ,,NODE11,NODE22,NODE21,,subject-Karen_location-Jungle,subject-Karen_location-Jungle,True,False,0,NODE11NODE22
0,0,11,2,214,question,transQ,,NODE22,NODE31,NODE32,,subject-Karen_location-Jungle,subject-Karen_location-Jungle,False,True,0,NODE22NODE31
0,0,12,2,233,question,transQ,,NODE22,NODE32,NODE31,,subject-Pamela_location-Deep,subject-Pamela_location-Deep,False,True,0,NODE22NODE32
0,0,13,1,248,question,transQ,,NODE11,NODE22,NODE21,,subject-Henry_location-Jungle,subject-Henry_location-Jungle,True,True,1,NODE11NODE22
0,0,13,2,252,question,transQ,,NODE22,NODE31,NODE32,,subject-Henry_location-Jungle,subject-Henry_location-Jungle,True,False,0,NODE22NODE31
0,0,14,1,267,question,transQ,,NODE11,NODE21,NODE22,,subject-Kevin_location-Deep,subject-Kevin_location-Deep,False,False,1,NODE11NODE21
0,0,14,2,271,question,transQ,,NODE21,NODE31,NODE32,,subject-Kevin_location-Deep,subject-Kevin_location-Deep,True,False,0,NODE21NODE31
