subjnum,block,story,depth,,type,qtype,state,fromnode,true_tonode,false_tonode,rfc,true_rfc,false_rfc,response_right,true_on_right,correct_response,edge
5,0,0,1,11,question,transQ,,NODE12,NODE21,NODE22,,subject-Christina_location-Jungle,subject-Christina_location-Jungle,False,True,0,NODE12NODE21
5,0,1,1,28,question,transQ,,NODE11,NODE21,NODE22,,subject-Joan_location-Deep,subject-Joan_location-Deep,True,True,1,NODE11NODE21
5,0,1,2,32,question,transQ,,NODE21,NODE31,NODE32,,subject-Joan_location-Deep,subject-Joan_location-Deep,False,True,0,NODE21NODE31
5,0,2,1,47,question,transQ,,NODE12,NODE21,NODE22,,subject-Nicholas_location-Jungle,subject-Nicholas_location-Jungle,False,False,1,NODE12NODE21
5,0,2,2,51,question,transQ,,NODE21,NODE32,NODE31,,subject-Nicholas_location-Jungle,subject-Nicholas_location-Jungle,True,False,0,NODE21NODE32
5,0,3,1,66,question,transQ,,NODE11,NODE21,NODE22,,subject-Sandra_location-Deep,subject-Sandra_location-Deep,False,False,1,NODE11NODE21
5,0,3,2,70,question,transQ,,NODE21,NODE31,NODE32,,subject-Sandra_location-Deep,subject-Sandra_location-Deep,True,True,1,NODE21NODE31
5,0,4,1,83,question,transQ,,NODE12,NODE21,NODE22,,subject-Joan_location-Jungle,subject-Joan_location-Jungle,False,False,1,NODE12NODE21
5,0,4,2,87,question,transQ,,NODE21,NODE32,NODE31,,subject-Joan_location-Jungle,subject-Joan_location-Jungle,False,False,1,NODE21NODE32
5,0,5,1,102,question,transQ,,NODE11,NODE21,NODE22,,subject-Carolyn_location-Deep,subject-Carolyn_location-Deep,False,True,0,NODE11NODE21
5,0,5,2,106,question,transQ,,NODE21,NODE31,NODE32,,subject-Carolyn_location-Deep,subject-Carolyn_location-Deep,True,True,1,NODE21NODE31
5,0,6,1,121,question,transQ,,NODE11,NODE22,NODE21,,subject-Harold_location-Jungle,subject-Harold_location-Jungle,False,False,1,NODE11NODE22
5,0,7,1,140,question,transQ,,NODE12,NODE22,NODE21,,subject-Cheryl_location-Deep,subject-Cheryl_location-Deep,True,True,1,NODE12NODE22
5,0,8,1,159,question,transQ,,NODE11,NODE22,NODE21,,subject-Rose_location-Jungle,subject-Rose_location-Jungle,True,False,0,NODE11NODE22
5,0,8,2,163,question,transQ,,NODE22,NODE31,NODE32,,subject-Rose_location-Jungle,subject-Rose_location-Jungle,True,True,1,NODE22NODE31
5,0,9,2,180,question,transQ,,NODE22,NODE32,NODE31,,subject-Justin_location-Deep,subject-Justin_location-Deep,False,True,0,NODE22NODE32
5,0,10,1,195,question,transQ,,NODE12,NODE21,NODE22,,subject-Kathryn_location-Jungle,subject-Kathryn_location-Jungle,True,True,1,NODE12NODE21
5,0,11,1,214,question,transQ,,NODE11,NODE21,NODE22,,subject-Marilyn_location-Deep,subject-Marilyn_location-Deep,False,False,1,NODE11NODE21
5,0,11,2,218,question,transQ,,NODE21,NODE31,NODE32,,subject-Marilyn_location-Deep,subject-Marilyn_location-Deep,False,False,1,NODE21NODE31
5,0,12,2,237,question,transQ,,NODE22,NODE31,NODE32,,subject-Robert_location-Jungle,subject-Robert_location-Jungle,False,True,0,NODE22NODE31
5,0,13,1,250,question,transQ,,NODE12,NODE22,NODE21,,subject-Anna_location-Deep,subject-Anna_location-Deep,True,False,0,NODE12NODE22
5,0,13,2,254,question,transQ,,NODE22,NODE32,NODE31,,subject-Anna_location-Deep,subject-Anna_location-Deep,True,False,0,NODE22NODE32
5,0,14,1,269,question,transQ,,NODE11,NODE22,NODE21,,subject-Mark_location-Jungle,subject-Mark_location-Jungle,False,False,1,NODE11NODE22
5,0,14,2,273,question,transQ,,NODE22,NODE31,NODE32,,subject-Mark_location-Jungle,subject-Mark_location-Jungle,False,True,0,NODE22NODE31
5,0,15,1,288,question,transQ,,NODE12,NODE22,NODE21,,subject-John_location-Deep,subject-John_location-Deep,False,False,1,NODE12NODE22
5,0,15,2,292,question,transQ,,NODE22,NODE32,NODE31,,subject-John_location-Deep,subject-John_location-Deep,True,True,1,NODE22NODE32
5,0,16,1,307,question,transQ,,NODE11,NODE22,NODE21,,subject-Justin_location-Jungle,subject-Justin_location-Jungle,True,False,0,NODE11NODE22
5,0,17,1,324,question,transQ,,NODE11,NODE21,NODE22,,subject-Martha_location-Deep,subject-Martha_location-Deep,True,True,1,NODE11NODE21
5,0,17,2,328,question,transQ,,NODE21,NODE31,NODE32,,subject-Martha_location-Deep,subject-Martha_location-Deep,False,True,0,NODE21NODE31
5,0,18,1,341,question,transQ,,NODE12,NODE21,NODE22,,subject-Kenneth_location-Jungle,subject-Kenneth_location-Jungle,True,True,1,NODE12NODE21
5,0,18,2,345,question,transQ,,NODE21,NODE32,NODE31,,subject-Kenneth_location-Jungle,subject-Kenneth_location-Jungle,False,True,0,NODE21NODE32
5,0,19,1,360,question,transQ,,NODE11,NODE21,NODE22,,subject-Joyce_location-Deep,subject-Joyce_location-Deep,True,True,1,NODE11NODE21
5,0,19,2,364,question,transQ,,NODE21,NODE31,NODE32,,subject-Joyce_location-Deep,subject-Joyce_location-Deep,True,False,0,NODE21NODE31
5,0,21,1,398,question,transQ,,NODE12,NODE22,NODE21,,subject-Samuel_location-Deep,subject-Samuel_location-Deep,False,True,0,NODE12NODE22
5,0,21,2,402,question,transQ,,NODE22,NODE32,NODE31,,subject-Samuel_location-Deep,subject-Samuel_location-Deep,True,True,1,NODE22NODE32
5,0,22,2,421,question,transQ,,NODE22,NODE31,NODE32,,subject-Hannah_location-Jungle,subject-Hannah_location-Jungle,False,True,0,NODE22NODE31
5,0,23,1,436,question,transQ,,NODE11,NODE21,NODE22,,subject-Jason_location-Deep,subject-Jason_location-Deep,True,True,1,NODE11NODE21
5,0,24,1,455,question,transQ,,NODE12,NODE21,NODE22,,subject-Rebecca_location-Jungle,subject-Rebecca_location-Jungle,False,True,0,NODE12NODE21
5,0,24,2,459,question,transQ,,NODE21,NODE32,NODE31,,subject-Rebecca_location-Jungle,subject-Rebecca_location-Jungle,True,False,0,NODE21NODE32
5,0,25,2,478,question,transQ,,NODE21,NODE31,NODE32,,subject-Helen_location-Deep,subject-Helen_location-Deep,True,True,1,NODE21NODE31
5,0,26,1,493,question,transQ,,NODE11,NODE22,NODE21,,subject-Judith_location-Jungle,subject-Judith_location-Jungle,False,True,0,NODE11NODE22
5,0,26,2,497,question,transQ,,NODE22,NODE31,NODE32,,subject-Judith_location-Jungle,subject-Judith_location-Jungle,False,False,1,NODE22NODE31
5,0,27,1,510,question,transQ,,NODE11,NODE21,NODE22,,subject-Kevin_location-Deep,subject-Kevin_location-Deep,True,False,0,NODE11NODE21
5,0,27,2,514,question,transQ,,NODE21,NODE31,NODE32,,subject-Kevin_location-Deep,subject-Kevin_location-Deep,False,True,0,NODE21NODE31
5,0,28,1,529,question,transQ,,NODE11,NODE22,NODE21,,subject-Megan_location-Jungle,subject-Megan_location-Jungle,False,False,1,NODE11NODE22
5,0,28,2,533,question,transQ,,NODE22,NODE31,NODE32,,subject-Megan_location-Jungle,subject-Megan_location-Jungle,True,False,0,NODE22NODE31
5,0,29,1,548,question,transQ,,NODE12,NODE22,NODE21,,subject-Brenda_location-Deep,subject-Brenda_location-Deep,True,False,0,NODE12NODE22
