subjnum,block,story,depth,,type,qtype,state,fromnode,true_tonode,false_tonode,rfc,true_rfc,false_rfc,response_right,true_on_right,correct_response,edge
0,0,0,1,11,question,transQ,,NODE11,NODE22,NODE21,,subject-Jeremy_location-Jungle,subject-Jeremy_location-Jungle,False,True,0,NODE11NODE22
0,0,0,2,15,question,transQ,,NODE22,NODE31,NODE32,,subject-Jeremy_location-Jungle,subject-Jeremy_location-Jungle,False,True,0,NODE22NODE31
0,0,1,1,30,question,transQ,,NODE12,NODE22,NODE21,,subject-Gerald_location-Deep,subject-Gerald_location-Deep,True,False,0,NODE12NODE22
0,0,1,2,34,question,transQ,,NODE22,NODE32,NODE31,,subject-Gerald_location-Deep,subject-Gerald_location-Deep,True,True,1,NODE22NODE32
0,0,2,1,49,question,transQ,,NODE11,NODE22,NODE21,,subject-Justin_location-Jungle,subject-Justin_location-Jungle,True,True,1,NODE11NODE22
0,0,2,2,53,question,transQ,,NODE22,NODE31,NODE32,,subject-Justin_location-Jungle,subject-Justin_location-Jungle,False,False,1,NODE22NODE31
0,0,3,1,68,question,transQ,,NODE12,NODE22,NODE21,,subject-Gregory_location-Deep,subject-Gregory_location-Deep,False,False,1,NODE12NODE22
0,0,3,2,72,question,transQ,,NODE22,NODE32,NODE31,,subject-Gregory_location-Deep,subject-Gregory_location-Deep,False,False,1,NODE22NODE32
0,0,4,1,87,question,transQ,,NODE12,NODE21,NODE22,,subject-Stephen_location-Jungle,subject-Stephen_location-Jungle,False,True,0,NODE12NODE21
0,0,4,2,91,question,transQ,,NODE21,NODE32,NODE31,,subject-Stephen_location-Jungle,subject-Stephen_location-Jungle,True,False,0,NODE21NODE32
0,0,5,1,106,question,transQ,,NODE12,NODE22,NODE21,,subject-Eugene_location-Deep,subject-Eugene_location-Deep,False,True,0,NODE12NODE22
0,0,6,1,125,question,transQ,,NODE11,NODE22,NODE21,,subject-Amber_location-Jungle,subject-Amber_location-Jungle,False,False,1,NODE11NODE22
0,0,6,2,129,question,transQ,,NODE22,NODE31,NODE32,,subject-Amber_location-Jungle,subject-Amber_location-Jungle,True,True,1,NODE22NODE31
0,0,7,1,144,question,transQ,,NODE11,NODE21,NODE22,,subject-Katherine_location-Deep,subject-Katherine_location-Deep,False,False,1,NODE11NODE21
0,0,7,2,148,question,transQ,,NODE21,NODE31,NODE32,,subject-Katherine_location-Deep,subject-Katherine_location-Deep,True,False,0,NODE21NODE31
0,0,8,1,161,question,transQ,,NODE12,NODE21,NODE22,,subject-Sarah_location-Jungle,subject-Sarah_location-Jungle,False,True,0,NODE12NODE21
0,0,8,2,165,question,transQ,,NODE21,NODE32,NODE31,,subject-Sarah_location-Jungle,subject-Sarah_location-Jungle,False,False,1,NODE21NODE32
0,0,9,1,180,question,transQ,,NODE11,NODE21,NODE22,,subject-Hannah_location-Deep,subject-Hannah_location-Deep,True,True,1,NODE11NODE21
0,0,9,2,184,question,transQ,,NODE21,NODE31,NODE32,,subject-Hannah_location-Deep,subject-Hannah_location-Deep,True,True,1,NODE21NODE31
0,0,10,1,199,question,transQ,,NODE11,NODE22,NODE21,,subject-Betty_location-Jungle,subject-Betty_location-Jungle,True,True,1,NODE11NODE22
0,0,10,2,203,question,transQ,,NODE22,NODE31,NODE32,,subject-Betty_location-Jungle,subject-Betty_location-Jungle,True,True,1,NODE22NODE31
0,0,11,2,222,question,transQ,,NODE21,NODE31,NODE32,,subject-Alan_location-Deep,subject-Alan_location-Deep,True,False,0,NODE21NODE31
0,0,12,2,241,question,transQ,,NODE21,NODE32,NODE31,,subject-Deborah_location-Jungle,subject-Deborah_location-Jungle,False,False,1,NODE21NODE32
0,0,13,2,260,question,transQ,,NODE22,NODE32,NODE31,,subject-Elizabeth_location-Deep,subject-Elizabeth_location-Deep,True,True,1,NODE22NODE32
0,0,14,1,275,question,transQ,,NODE11,NODE22,NODE21,,subject-Ryan_location-Jungle,subject-Ryan_location-Jungle,False,False,1,NODE11NODE22
0,0,14,2,279,question,transQ,,NODE22,NODE31,NODE32,,subject-Ryan_location-Jungle,subject-Ryan_location-Jungle,False,False,1,NODE22NODE31
0,0,15,1,292,question,transQ,,NODE11,NODE21,NODE22,,subject-Marie_location-Deep,subject-Marie_location-Deep,False,False,1,NODE11NODE21
0,0,16,1,311,question,transQ,,NODE12,NODE21,NODE22,,subject-Angela_location-Jungle,subject-Angela_location-Jungle,False,False,1,NODE12NODE21
0,0,16,2,315,question,transQ,,NODE21,NODE32,NODE31,,subject-Angela_location-Jungle,subject-Angela_location-Jungle,True,True,1,NODE21NODE32
0,0,17,1,330,question,transQ,,NODE12,NODE22,NODE21,,subject-Sara_location-Deep,subject-Sara_location-Deep,False,False,1,NODE12NODE22
0,0,17,2,334,question,transQ,,NODE22,NODE32,NODE31,,subject-Sara_location-Deep,subject-Sara_location-Deep,True,False,0,NODE22NODE32
0,0,18,1,349,question,transQ,,NODE12,NODE21,NODE22,,subject-Peter_location-Jungle,subject-Peter_location-Jungle,False,False,1,NODE12NODE21
0,0,18,2,353,question,transQ,,NODE21,NODE32,NODE31,,subject-Peter_location-Jungle,subject-Peter_location-Jungle,True,False,0,NODE21NODE32
0,0,19,1,368,question,transQ,,NODE12,NODE22,NODE21,,subject-Patricia_location-Deep,subject-Patricia_location-Deep,False,False,1,NODE12NODE22
0,0,19,2,372,question,transQ,,NODE22,NODE32,NODE31,,subject-Patricia_location-Deep,subject-Patricia_location-Deep,True,False,0,NODE22NODE32
0,0,20,1,387,question,transQ,,NODE12,NODE21,NODE22,,subject-Nathan_location-Jungle,subject-Nathan_location-Jungle,True,True,1,NODE12NODE21
0,0,20,2,391,question,transQ,,NODE21,NODE32,NODE31,,subject-Nathan_location-Jungle,subject-Nathan_location-Jungle,True,False,0,NODE21NODE32
0,0,21,1,404,question,transQ,,NODE12,NODE22,NODE21,,subject-Sharon_location-Deep,subject-Sharon_location-Deep,False,True,0,NODE12NODE22
0,0,21,2,408,question,transQ,,NODE22,NODE32,NODE31,,subject-Sharon_location-Deep,subject-Sharon_location-Deep,False,True,0,NODE22NODE32
0,0,22,1,423,question,transQ,,NODE12,NODE21,NODE22,,subject-Eric_location-Jungle,subject-Eric_location-Jungle,False,True,0,NODE12NODE21
0,0,22,2,427,question,transQ,,NODE21,NODE32,NODE31,,subject-Eric_location-Jungle,subject-Eric_location-Jungle,False,False,1,NODE21NODE32
0,0,23,1,440,question,transQ,,NODE11,NODE21,NODE22,,subject-Donald_location-Deep,subject-Donald_location-Deep,False,True,0,NODE11NODE21
0,0,23,2,444,question,transQ,,NODE21,NODE31,NODE32,,subject-Donald_location-Deep,subject-Donald_location-Deep,True,False,0,NODE21NODE31
