subjnum,block,story,depth,,type,qtype,state,fromnode,true_tonode,false_tonode,rfc,true_rfc,false_rfc,response_right,true_on_right,correct_response,edge
1,0,0,1,11,question,transQ,,NODE12,NODE21,NODE22,,subject-Vincent_location-Jungle,subject-Vincent_location-Jungle,True,False,0,NODE12NODE21
1,0,0,2,15,question,transQ,,NODE21,NODE32,NODE31,,subject-Vincent_location-Jungle,subject-Vincent_location-Jungle,False,True,0,NODE21NODE32
1,0,1,1,30,question,transQ,,NODE12,NODE21,NODE22,,subject-Gary_location-Jungle,subject-Gary_location-Jungle,True,True,1,NODE12NODE21
1,0,1,2,34,question,transQ,,NODE21,NODE32,NODE31,,subject-Gary_location-Jungle,subject-Gary_location-Jungle,True,True,1,NODE21NODE32
1,0,4,1,81,question,transQ,,NODE11,NODE22,NODE21,,subject-Randy_location-Jungle,subject-Randy_location-Jungle,False,False,1,NODE11NODE22
1,0,4,2,85,question,transQ,,NODE22,NODE31,NODE32,,subject-Randy_location-Jungle,subject-Randy_location-Jungle,False,False,1,NODE22NODE31
1,0,5,2,104,question,transQ,,NODE22,NODE31,NODE32,,subject-Marilyn_location-Jungle,subject-Marilyn_location-Jungle,True,True,1,NODE22NODE31
1,0,6,2,121,question,transQ,,NODE22,NODE31,NODE32,,subject-Judy_location-Jungle,subject-Judy_location-Jungle,True,True,1,NODE22NODE31
1,0,7,1,134,question,transQ,,NODE11,NODE22,NODE21,,subject-Emma_location-Jungle,subject-Emma_location-Jungle,False,False,1,NODE11NODE22
1,0,8,1,153,question,transQ,,NODE12,NODE21,NODE22,,subject-Janice_location-Jungle,subject-Janice_location-Jungle,False,True,0,NODE12NODE21
1,0,9,1,170,question,transQ,,NODE12,NODE21,NODE22,,subject-Emma_location-Jungle,subject-Emma_location-Jungle,True,True,1,NODE12NODE21
1,0,9,2,174,question,transQ,,NODE21,NODE32,NODE31,,subject-Emma_location-Jungle,subject-Emma_location-Jungle,True,True,1,NODE21NODE32
1,0,10,1,187,question,transQ,,NODE11,NODE22,NODE21,,subject-John_location-Jungle,subject-John_location-Jungle,True,True,1,NODE11NODE22
1,0,11,1,204,question,transQ,,NODE11,NODE22,NODE21,,subject-Olivia_location-Jungle,subject-Olivia_location-Jungle,True,True,1,NODE11NODE22
1,0,12,1,223,question,transQ,,NODE12,NODE21,NODE22,,subject-Donald_location-Jungle,subject-Donald_location-Jungle,True,False,0,NODE12NODE21
1,0,12,2,227,question,transQ,,NODE21,NODE32,NODE31,,subject-Donald_location-Jungle,subject-Donald_location-Jungle,True,True,1,NODE21NODE32
1,0,13,1,242,question,transQ,,NODE11,NODE22,NODE21,,subject-John_location-Jungle,subject-John_location-Jungle,True,True,1,NODE11NODE22
1,0,13,2,246,question,transQ,,NODE22,NODE31,NODE32,,subject-John_location-Jungle,subject-John_location-Jungle,False,False,1,NODE22NODE31
1,0,14,1,259,question,transQ,,NODE11,NODE22,NODE21,,subject-Marie_location-Jungle,subject-Marie_location-Jungle,False,False,1,NODE11NODE22
1,0,14,2,263,question,transQ,,NODE22,NODE31,NODE32,,subject-Marie_location-Jungle,subject-Marie_location-Jungle,True,True,1,NODE22NODE31
1,0,15,1,278,question,transQ,,NODE12,NODE21,NODE22,,subject-Susan_location-Jungle,subject-Susan_location-Jungle,False,False,1,NODE12NODE21
1,0,16,1,297,question,transQ,,NODE11,NODE22,NODE21,,subject-Brandon_location-Jungle,subject-Brandon_location-Jungle,True,True,1,NODE11NODE22
1,0,16,2,301,question,transQ,,NODE22,NODE31,NODE32,,subject-Brandon_location-Jungle,subject-Brandon_location-Jungle,True,True,1,NODE22NODE31
1,0,17,2,320,question,transQ,,NODE21,NODE32,NODE31,,subject-Ronald_location-Jungle,subject-Ronald_location-Jungle,False,False,1,NODE21NODE32
1,0,18,1,335,question,transQ,,NODE12,NODE21,NODE22,,subject-Walter_location-Jungle,subject-Walter_location-Jungle,False,False,1,NODE12NODE21
1,0,18,2,339,question,transQ,,NODE21,NODE32,NODE31,,subject-Walter_location-Jungle,subject-Walter_location-Jungle,False,False,1,NODE21NODE32
1,0,19,1,352,question,transQ,,NODE12,NODE21,NODE22,,subject-Daniel_location-Jungle,subject-Daniel_location-Jungle,False,False,1,NODE12NODE21
1,0,19,2,356,question,transQ,,NODE21,NODE32,NODE31,,subject-Daniel_location-Jungle,subject-Daniel_location-Jungle,True,True,1,NODE21NODE32
1,0,20,1,371,question,transQ,,NODE11,NODE22,NODE21,,subject-Jeffrey_location-Jungle,subject-Jeffrey_location-Jungle,True,True,1,NODE11NODE22
1,0,21,2,394,question,transQ,,NODE22,NODE31,NODE32,,subject-Jeremy_location-Jungle,subject-Jeremy_location-Jungle,True,True,1,NODE22NODE31
