subjnum,block,story,depth,,type,qtype,state,fromnode,true_tonode,false_tonode,rfc,true_rfc,false_rfc,response_right,true_on_right,correct_response,edge
6,0,0,1,9,question,transQ,,NODE12,NODE22,NODE21,,subject-Louis_location-Deep,subject-Louis_location-Deep,False,True,0,NODE12NODE22
6,0,0,2,13,question,transQ,,NODE22,NODE32,NODE31,,subject-Louis_location-Deep,subject-Louis_location-Deep,True,True,1,NODE22NODE32
6,0,1,2,32,question,transQ,,NODE21,NODE32,NODE31,,subject-George_location-Jungle,subject-George_location-Jungle,True,True,1,NODE21NODE32
6,0,2,1,47,question,transQ,,NODE12,NODE22,NODE21,,subject-Donna_location-Deep,subject-Donna_location-Deep,False,False,1,NODE12NODE22
6,0,2,2,51,question,transQ,,NODE22,NODE32,NODE31,,subject-Donna_location-Deep,subject-Donna_location-Deep,True,True,1,NODE22NODE32
6,0,3,1,66,question,transQ,,NODE12,NODE21,NODE22,,subject-Jack_location-Jungle,subject-Jack_location-Jungle,False,True,0,NODE12NODE21
6,0,3,2,70,question,transQ,,NODE21,NODE32,NODE31,,subject-Jack_location-Jungle,subject-Jack_location-Jungle,False,True,0,NODE21NODE32
6,0,4,1,85,question,transQ,,NODE12,NODE22,NODE21,,subject-Philip_location-Deep,subject-Philip_location-Deep,True,True,1,NODE12NODE22
6,0,4,2,89,question,transQ,,NODE22,NODE32,NODE31,,subject-Philip_location-Deep,subject-Philip_location-Deep,True,True,1,NODE22NODE32
6,0,5,1,104,question,transQ,,NODE11,NODE22,NODE21,,subject-Laura_location-Jungle,subject-Laura_location-Jungle,True,False,0,NODE11NODE22
6,0,5,2,108,question,transQ,,NODE22,NODE31,NODE32,,subject-Laura_location-Jungle,subject-Laura_location-Jungle,True,True,1,NODE22NODE31
6,0,6,1,121,question,transQ,,NODE12,NODE22,NODE21,,subject-Richard_location-Deep,subject-Richard_location-Deep,False,False,1,NODE12NODE22
6,0,6,2,125,question,transQ,,NODE22,NODE32,NODE31,,subject-Richard_location-Deep,subject-Richard_location-Deep,False,False,1,NODE22NODE32
6,0,7,1,138,question,transQ,,NODE11,NODE22,NODE21,,subject-Linda_location-Jungle,subject-Linda_location-Jungle,False,False,1,NODE11NODE22
6,0,7,2,142,question,transQ,,NODE22,NODE31,NODE32,,subject-Linda_location-Jungle,subject-Linda_location-Jungle,True,True,1,NODE22NODE31
